,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Machine-op-inspct, Unmarried, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
18,Middle-Aged, Private,"<=375,000", 11th,4-8, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
19,Middle-Aged, Self-emp-not-inc,"<=375,000", Masters,12-16, Divorced, Exec-managerial, Unmarried, White, Female,No Gain,No Loss,40-60hrs, United-States, >50K
20,Middle-Aged, Private,"<=375,000", Doctorate,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
21,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Separated, Other-service, Unmarried, Black, Female,No Gain,No Loss,0-20hrs, United-States, <=50K
22,Middle-Aged, Federal-gov,"<=375,000", 9th,4-8, Married-civ-spouse, Farming-fishing, Husband, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
23,Middle-Aged, Private,"<=375,000", 11th,4-8, Married-civ-spouse, Transport-moving, Husband, White, Male,No Gain,Modest Loss,20-40hrs, United-States, <=50K
24,Old, Private,"<=375,000", HS-grad,8-12, Divorced, Tech-support, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
25,Old, Local-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Tech-support, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
26,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
27,Middle-Aged,,"<=375,000", Some-college,8-12, Married-civ-spouse,, Husband, Asian-Pac-Islander, Male,No Gain,No Loss,40-60hrs, South, >50K
28,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Divorced, Exec-managerial, Not-in-family, White, Male,No Gain,No Loss,60-80hrs, United-States, <=50K
29,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
30,Young, Local-gov,"<=375,000", Assoc-acdm,8-12, Never-married, Protective-serv, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
31,Young, Private,"<=375,000", Some-college,8-12, Never-married, Sales, Own-child, Black, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
32,Middle-Aged, Private,">375,000 and <=750,000", Bachelors,12-16, Divorced, Exec-managerial, Own-child, White, Male,No Gain,Modest Loss,20-40hrs, United-States, <=50K
33,Middle-Aged, Federal-gov,"<=375,000", Some-college,8-12, Married-civ-spouse, Adm-clerical, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
34,Young, State-gov,"<=375,000", Some-college,8-12, Married-civ-spouse, Other-service, Husband, Black, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
35,Middle-Aged, Private,"<=375,000", 11th,4-8, Never-married, Machine-op-inspct, Unmarried, White, Male,No Gain,No Loss,20-40hrs, Puerto-Rico, <=50K
36,Young, Private,"<=375,000", Some-college,8-12, Never-married, Machine-op-inspct, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
37,Young, Private,">375,000 and <=750,000", HS-grad,8-12, Married-AF-spouse, Adm-clerical, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
38,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,20-40hrs,, >50K
39,Middle-Aged, Self-emp-not-inc,"<=375,000", Assoc-acdm,8-12, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
40,Middle-Aged, Private,">375,000 and <=750,000", 9th,4-8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
41,Middle-Aged, Self-emp-not-inc,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
42,Young, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Tech-support, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
43,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Separated, Adm-clerical, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
44,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Handlers-cleaners, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
45,Old, Federal-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, Black, Male,No Gain,No Loss,20-40hrs, United-States, >50K
46,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
47,Middle-Aged, Private,"<=375,000", Masters,12-16, Divorced, Exec-managerial, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
48,Middle-Aged, State-gov,"<=375,000", Assoc-voc,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
49,Middle-Aged, Private,"<=375,000", Assoc-voc,8-12, Never-married, Prof-specialty, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
50,Young, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Exec-managerial, Wife, Other, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
51,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Other-service, Own-child, White, Female,No Gain,No Loss,20-40hrs,, <=50K
52,Middle-Aged, Private,"<=375,000", Prof-school,12-16, Married-civ-spouse, Prof-specialty, Wife, White, Female,No Gain,Modest Loss,40-60hrs, Honduras, >50K
53,Middle-Aged, Federal-gov,"<=375,000", Bachelors,12-16, Divorced, Exec-managerial, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
54,Middle-Aged, Self-emp-inc,"<=375,000", HS-grad,8-12, Divorced, Exec-managerial, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
55,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Tech-support, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
56,Middle-Aged, Private,"<=375,000", 5th-6th,0-4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,No Gain,No Loss,20-40hrs, Mexico, <=50K
57,Middle-Aged, Private,"<=375,000", Assoc-voc,8-12, Married-civ-spouse, Other-service, Husband, White, Male,No Gain,No Loss,20-40hrs, Puerto-Rico, <=50K
58,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Adm-clerical, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
59,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, <=50K
60,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, <=50K
61,Middle-Aged,,"<=375,000", 7th-8th,0-4, Married-spouse-absent,, Not-in-family, White, Male,No Gain,No Loss,20-40hrs,, <=50K
62,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Transport-moving, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
63,Middle-Aged, Private,"<=375,000", Doctorate,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
64,Middle-Aged, Private,"<=375,000", Some-college,8-12, Divorced, Tech-support, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
65,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
66,Middle-Aged, Private,"<=375,000", Some-college,8-12, Divorced, Adm-clerical, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
67,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Adm-clerical, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, >50K
68,Middle-Aged, Self-emp-inc,"<=375,000", Some-college,8-12, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
69,Young,,"<=375,000", Some-college,8-12, Never-married,, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
70,Young, Private,"<=375,000", Some-college,8-12, Never-married, Prof-specialty, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
71,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Separated, Sales, Own-child, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
72,Middle-Aged, Self-emp-not-inc,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,60-80hrs, United-States, >50K
73,Young, Private,"<=375,000", Some-college,8-12, Never-married, Machine-op-inspct, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
74,Old, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
75,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Other-service, Own-child, White, Male,No Gain,No Loss,20-40hrs, Mexico, <=50K
76,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Married-civ-spouse, Adm-clerical, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
77,Old,,"<=375,000", 10th,4-8, Married-civ-spouse,, Husband, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
78,Young, Private,"<=375,000", 11th,4-8, Never-married, Other-service, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
79,Middle-Aged, Local-gov,"<=375,000", 7th-8th,0-4, Married-civ-spouse, Farming-fishing, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
80,Young, Private,">375,000 and <=750,000", HS-grad,8-12, Never-married, Sales, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
81,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Other-service, Husband, White, Male,No Gain,No Loss,20-40hrs, Cuba, <=50K
82,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Other-service, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
83,Old, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
84,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Divorced, Craft-repair, Not-in-family, White, Female,High Gain,No Loss,20-40hrs, United-States, >50K
85,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Divorced, Sales, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
86,Middle-Aged, Local-gov,"<=375,000", HS-grad,8-12, Married-civ-spouse, Protective-serv, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
87,Middle-Aged, Private,"<=375,000", Masters,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
88,Middle-Aged, Private,"<=375,000", 9th,4-8, Never-married, Sales, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
89,Middle-Aged, Federal-gov,">375,000 and <=750,000", Doctorate,12-16, Never-married, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,40-60hrs, United-States, >50K
90,Old, Private,"<=375,000", Assoc-voc,8-12, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
91,Middle-Aged, Private,"<=375,000", Some-college,8-12, Divorced, Craft-repair, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
92,Middle-Aged, Private,"<=375,000", Some-college,8-12, Divorced, Machine-op-inspct, Unmarried, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
93,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,No Gain,Modest Loss,20-40hrs,, <=50K
94,Middle-Aged, Local-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Protective-serv, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
95,Middle-Aged, Local-gov,"<=375,000", Some-college,8-12, Never-married, Handlers-cleaners, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
96,Middle-Aged, Self-emp-not-inc,"<=375,000", Doctorate,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,Modest Loss,40-60hrs, United-States, >50K
97,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
98,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Divorced, Exec-managerial, Unmarried, White, Female,No Gain,No Loss,20-40hrs, England, <=50K
99,Middle-Aged, Federal-gov,"<=375,000", HS-grad,8-12, Never-married, Other-service, Own-child, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
100,Old, Private,"<=375,000", Masters,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
101,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,High Gain,No Loss,40-60hrs, United-States, >50K
102,Middle-Aged, Self-emp-not-inc,"<=375,000", Masters,12-16, Never-married, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,40-60hrs, United-States, <=50K
103,Young, Private,"<=375,000", Some-college,8-12, Never-married, Tech-support, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
104,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
105,Middle-Aged, Self-emp-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, >50K
106,Young,,"<=375,000", 10th,4-8, Never-married,, Own-child, White, Female,High Gain,No Loss,20-40hrs, United-States, <=50K
107,Middle-Aged, Private,"<=375,000", 11th,4-8, Never-married, Handlers-cleaners, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
108,Middle-Aged, Local-gov,"<=375,000", HS-grad,8-12, Never-married, Adm-clerical, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
109,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
110,Young, Private,">375,000 and <=750,000", Bachelors,12-16, Never-married, Sales, Other-relative, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
111,Middle-Aged, Private,"<=375,000", Prof-school,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
112,Old, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Other-service, Husband, White, Male,No Gain,Modest Loss,40-60hrs, Canada, >50K
113,Middle-Aged, Private,">375,000 and <=750,000", Some-college,8-12, Married-civ-spouse, Sales, Wife, White, Female,Medium Gain,No Loss,20-40hrs, United-States, <=50K
114,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Machine-op-inspct, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
115,Middle-Aged, Private,"<=375,000", 9th,4-8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
116,Old, Self-emp-inc,"<=375,000", Some-college,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
117,Middle-Aged, Local-gov,"<=375,000", Assoc-voc,8-12, Married-civ-spouse, Craft-repair, Husband, Black, Male,No Gain,No Loss,20-40hrs, United-States, >50K
118,Old, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
119,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
120,Young, Private,"<=375,000", Some-college,8-12, Never-married, Other-service, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
121,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
122,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Never-married, Exec-managerial, Own-child, Black, Male,No Gain,No Loss,20-40hrs, Germany, <=50K
123,Middle-Aged, State-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
124,Young, Private,"<=375,000", Some-college,8-12, Never-married, Other-service, Own-child, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
125,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, >50K
126,Young, Private,"<=375,000", Some-college,8-12, Never-married, Adm-clerical, Own-child, White, Female,No Gain,Modest Loss,20-40hrs, United-States, <=50K
127,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Married-civ-spouse, Adm-clerical, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
128,Middle-Aged,,"<=375,000", HS-grad,8-12, Married-civ-spouse,, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
129,Middle-Aged, Private,"<=375,000", Some-college,8-12, Divorced, Craft-repair, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
130,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Never-married, Sales, Not-in-family, White, Female,No Gain,No Loss,40-60hrs, United-States, <=50K
131,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Other-service, Not-in-family, White, Female,No Gain,Modest Loss,20-40hrs, United-States, <=50K
132,Middle-Aged, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, <=50K
133,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
134,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Divorced, Tech-support, Not-in-family, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
135,Middle-Aged, Federal-gov,"<=375,000", Masters,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, Iran, >50K
136,Middle-Aged, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
137,Middle-Aged, Private,"<=375,000", Assoc-voc,8-12, Married-civ-spouse, Adm-clerical, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
138,Young, Private,"<=375,000", Some-college,8-12, Never-married, Sales, Own-child, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
139,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,No Gain,No Loss,20-40hrs, United-States, >50K
140,Old, Self-emp-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
141,Middle-Aged, Private,"<=375,000", Some-college,8-12, Never-married, Sales, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
142,Young, Private,"<=375,000", Some-college,8-12, Never-married, Other-service, Own-child, White, Male,No Gain,No Loss,20-40hrs, Mexico, <=50K
143,Middle-Aged, Private,"<=375,000", Assoc-voc,8-12, Never-married, Prof-specialty, Not-in-family, White, Female,No Gain,Modest Loss,20-40hrs, United-States, >50K
144,Old, Private,"<=375,000", Some-college,8-12, Never-married, Tech-support, Other-relative, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
145,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Transport-moving, Unmarried, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
146,Young, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Other-service, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
147,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Widowed, Other-service, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
148,Old, Private,"<=375,000", 11th,4-8, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,Modest Loss,20-40hrs, United-States, <=50K
149,Middle-Aged,,"<=375,000", Some-college,8-12, Divorced,, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
150,Middle-Aged, Local-gov,"<=375,000", Some-college,8-12, Divorced, Adm-clerical, Unmarried, White, Female,No Gain,No Loss,20-40hrs, Mexico, <=50K
151,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Adm-clerical, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
152,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,No Gain,No Loss,20-40hrs, Philippines, <=50K
153,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
154,Middle-Aged,,"<=375,000", HS-grad,8-12, Divorced,, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
155,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
156,Young, Private,"<=375,000", Bachelors,12-16, Never-married, Handlers-cleaners, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
157,Old, Self-emp-not-inc,">375,000 and <=750,000", Some-college,8-12, Separated, Sales, Unmarried, Black, Male,No Gain,Modest Loss,0-20hrs, United-States, <=50K
158,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Divorced, Craft-repair, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
159,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Separated, Other-service, Other-relative, Black, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
160,Old,,"<=375,000", 1st-4th,0-4, Divorced,, Not-in-family, White, Female,No Gain,No Loss,0-20hrs, United-States, <=50K
161,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Other-service, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
162,Middle-Aged, Self-emp-inc,"<=375,000", Masters,12-16, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
163,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,No Gain,No Loss,20-40hrs, England, <=50K
164,Middle-Aged, Self-emp-not-inc,"<=375,000", Masters,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
165,Middle-Aged, Private,"<=375,000", Some-college,8-12, Divorced, Other-service, Unmarried, White, Female,No Gain,No Loss,20-40hrs, Mexico, <=50K
166,Middle-Aged, Federal-gov,"<=375,000", Assoc-acdm,8-12, Never-married, Exec-managerial, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
167,Middle-Aged, State-gov,"<=375,000", Masters,12-16, Widowed, Protective-serv, Unmarried, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
168,Young, Private,"<=375,000", 11th,4-8, Never-married, Handlers-cleaners, Own-child, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
169,Old, Local-gov,"<=375,000", Assoc-voc,8-12, Widowed, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,0-20hrs, United-States, <=50K
170,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Other-service, Not-in-family, White, Male,No Gain,Modest Loss,20-40hrs, United-States, <=50K
